gateway_id,device_id,device_name,device_type,site,building,floor,installation_area,target_area,panel,point_type,point_specification,point_id,point_name,writable,interval,unit,max_pres_value,min_pres_value,labels,scale,tags,supplier,owner,description,local_id,device_id_bacnet,instance_no_bacnet,object_type_bacnet
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0001,Point 1,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 1,LOCAL0001,BAC-L,1001,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0002,Point 2,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 2,LOCAL0002,BAC-L,1002,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0003,Point 3,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 3,LOCAL0003,BAC-L,1003,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0004,Point 4,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 4,LOCAL0004,BAC-L,1004,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0005,Point 5,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 5,LOCAL0005,BAC-L,1005,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0006,Point 6,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 6,LOCAL0006,BAC-L,1006,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0007,Point 7,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 7,LOCAL0007,BAC-L,1007,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0008,Point 8,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 8,LOCAL0008,BAC-L,1008,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0009,Point 9,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 9,LOCAL0009,BAC-L,1009,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0010,Point 10,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 10,LOCAL0010,BAC-L,1010,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0011,Point 11,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 11,LOCAL0011,BAC-L,1011,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0012,Point 12,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 12,LOCAL0012,BAC-L,1012,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0013,Point 13,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 13,LOCAL0013,BAC-L,1013,Analog-Input
